"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-19","4.70",,"0.00","0.0","0.0","62","73","53","  130","  120","14.1","19.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-20","6.26",,"0.05","0.0","0.0","65","73","58","  130","  110","16.1","21.9","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-21","3.80",,"0.27","0.0","0.0","71","79","66","  150","  150","12.1","16.1","    1","    1","    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-22","4.47",,"0.04","0.0","0.0","71","87","64","  310","  310","19.9","30.0","    1","    1","    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-23","4.92",,"0.00","0.0","0.0","74","90","65","  210","  210","17.0","23.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-24","3.58",,"0.00","0.0","0.0","74","89","64","  210","  210","13.0","17.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-25","4.92",,"0.00","0.0","0.0","74","88","64","  200","  200","15.0","19.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-26","4.92",,"0.00","0.0","0.0","71","84","63","  310","  310","18.1","23.9","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-27","12.97",,"0.02","0.0","0.0","60","66","50","  300","  320","25.1","36.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-28","4.03",,"0.01","0.0","0.0","55","65","49","  230","  220","13.0","16.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-29","6.71",,"0.06","0.0","0.0","55","59","43","   10","   20","16.1","23.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-30","1.79",,"0.00","0.0","0.0","48","61","36","  200","  340","6.9","10.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-01","5.14",,"0.00","0.0","0.0","52","67","42","  140","  130","13.0","18.1","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-02","8.95",,"0.00","0.0","0.0","60","70","53","  150","  150","23.9","31.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-03","8.28",,"0.00","0.0","0.0","67","75","62","  200","  200","16.1","21.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-04","10.07",,"0.22","0.0","0.0","64","72","52","  300","  310","18.1","27.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-05","8.28",,"0.00","0.0","0.0","54","63","45","  290","  230","17.0","23.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-06","4.25",,"0.00","0.0","0.0","53","65","42","  150","  150","10.1","13.0","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-07","7.61",,"1.18","0.0","0.0","61","68","57","  220","  180","15.0","21.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-08","7.83",,"0.12","0.0","0.0","64","73","54","  290","  290","23.9","36.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-09","7.38",,"0.00","0.0","0.0","58","67","51","  300","  300","17.0","27.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-10","7.61",,"0.00","0.0","0.0","53","57","44","  320","  310","18.1","25.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-11","5.82",,"0.00","0.0","0.0","49","61","42","  130","   90","14.1","19.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-12","7.61",,"0.00","0.0","0.0","49","59","42","  120","  130","16.1","21.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-13","6.49",,"0.02","0.0","0.0","57","61","50","  230","  230","15.0","19.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-14","3.58",,"0.13","0.0","0.0","52","58","40","  100","  130","13.0","21.9","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-15","9.40",,"0.79","0.0","0.0","47","48","35","   30","   10","18.1","28.0","    1",,"    1",,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-16","5.82",,"0.00","0.0","0.0","42","56","31","  200","  200","18.1","23.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-17","6.49",,"0.00","0.0","0.0","52","64","44","  210","  220","14.1","19.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-18","11.63",,"0.00","0.0","0.0","54","69","44","  200","  200","31.1","38.9","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-19","11.41",,"0.00","0.0","0.0","58","62","43","  270","  280","23.0","32.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-20","5.82",,"0.00","0.0","0.0","54","72","41","  200","  200","15.0","19.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-21","6.26",,"0.00","0.0","0.0","58","69","50","  130","  130","14.1","19.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-22","7.83",,"0.70","0.0","0.0","61","70","51","  300","  330","17.0","21.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-23","4.92",,"1.38","0.0","0.0","51","54","50","  360","  350","16.1","25.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-24","13.87",,"1.39","0.0","0.0","50","58","43","  150","  150","28.0","38.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-25","9.62",,"0.06","0.0","0.0","40","44","34","  330","  300","19.9","29.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-26","4.25",,"0.00","0.0","0.0","36","44","29","  100","   90","12.1","17.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-27","8.72",,"0.25","0.0","0.0","40","42","39","   80","   60","18.1","27.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-28","5.37",,"0.08","0.0","0.0","41","45","36","  290","  280","15.0","19.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-29","2.68",,"0.00","0.0","0.0","38","45","32","  320","  300","8.1","11.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-30","8.28",,"0.14","0.0","0.0","38","46","36","  280","  300","18.1","25.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-10-31","6.04",,"0.14","0.7","0.0","36","40","31","  310","  310","18.1","25.1","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-01","3.80",,"0.00","0.0","0.0","36","43","32","  150","  150","14.1","18.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-02","6.71",,"0.01","0.0","0.0","42","46","38","  280","  290","17.0","25.9","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-03","12.53",,"0.02","0.0","0.0","39","43","33","  310","  300","23.0","34.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-04","7.38",,"0.11","0.7","0.0","35","40","33","  100","  110","15.0","23.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-05","8.72",,"0.06","0.0","0.0","43","48","36","  310","  320","23.9","32.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-06","12.08",,"0.00","0.0","0.0","36","38","34","  310","  300","21.0","31.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-07","8.72",,"0.03","0.3","0.0","34","36","26","  310","  320","17.0","23.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-08","8.72",,"0.00","0.0","0.0","30","39","22","  260","  270","15.0","23.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-09","11.63",,"0.30","5.0","0.0","29","35","7","  330","  330","25.1","38.9","    1","    1",,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-10","4.70",,"0.00","0.0","3.9","12","25","0","   10","   30","15.0","21.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-11","8.50",,"0.15","1.3","3.1","23","30","15","  180","  160","17.0","23.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-12","0.67",,"0.06","0.0","3.9","32","36","30","  150","  160","6.9","8.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-13","0.89",,"0.14","0.8","3.1","35","37","33","  200","  200","6.0","6.9","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-14","6.04",,"0.00","0.0","3.1","36","42","32","  140","  140","12.1","16.1","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-15","8.28",,"1.77","0.0","1.2","40","41","35","  150","  150","15.0","23.0","    1",,,,"    1",
